cycle,state,pollster,fte_grade,population,office_type,answer,candidate_name,pct
2020,,IBD/TIPP,A/B,rv,U.S. President,Buttigieg,Pete Buttigieg,47.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,46.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Bloomberg,Michael Bloomberg,47.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,45.0
2020,West Virginia,WPA Intelligence (WPAi),B/C,lv,U.S. President,Biden,Joseph R. Biden Jr.,31.0
2020,West Virginia,WPA Intelligence (WPAi),B/C,lv,U.S. President,Trump,Donald Trump,66.0
2020,West Virginia,WPA Intelligence (WPAi),B/C,lv,U.S. President,Sanders,Bernard Sanders,29.0
2020,West Virginia,WPA Intelligence (WPAi),B/C,lv,U.S. President,Trump,Donald Trump,66.0
2020,Nevada,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Biden,Joseph R. Biden Jr.,47.0
2020,Nevada,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,39.0
2020,Nevada,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Sanders,Bernard Sanders,46.0
2020,Nevada,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,41.0
2020,Nevada,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Warren,Elizabeth Warren,43.0
2020,Nevada,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,42.0
2020,Nevada,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Buttigieg,Pete Buttigieg,41.0
2020,Nevada,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,40.0
2020,Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Biden,Joseph R. Biden Jr.,46.0
2020,Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,41.0
2020,Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Sanders,Bernard Sanders,46.0
2020,Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,42.0
2020,Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Warren,Elizabeth Warren,44.0
2020,Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,42.0
2020,Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Buttigieg,Pete Buttigieg,42.0
2020,Wisconsin,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,41.0
2020,Michigan,Glengariff Group Inc.,B/C,lv,U.S. President,Biden,Joseph R. Biden Jr.,50.1
2020,Michigan,Glengariff Group Inc.,B/C,lv,U.S. President,Trump,Donald Trump,43.2
2020,Michigan,Glengariff Group Inc.,B/C,lv,U.S. President,Sanders,Bernard Sanders,49.0
2020,Michigan,Glengariff Group Inc.,B/C,lv,U.S. President,Trump,Donald Trump,44.8
2020,Michigan,Glengariff Group Inc.,B/C,lv,U.S. President,Warren,Elizabeth Warren,45.7
2020,Michigan,Glengariff Group Inc.,B/C,lv,U.S. President,Trump,Donald Trump,44.0
2020,Michigan,Glengariff Group Inc.,B/C,lv,U.S. President,Buttigieg,Pete Buttigieg,45.0
2020,Michigan,Glengariff Group Inc.,B/C,lv,U.S. President,Trump,Donald Trump,43.2
2020,Michigan,Glengariff Group Inc.,B/C,lv,U.S. President,Bloomberg,Michael Bloomberg,47.2
2020,Michigan,Glengariff Group Inc.,B/C,lv,U.S. President,Trump,Donald Trump,41.2
2020,New Mexico,Emerson College,A-,rv,U.S. President,Biden,Joseph R. Biden Jr.,54.3
2020,New Mexico,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,45.7
2020,New Mexico,Emerson College,A-,rv,U.S. President,Sanders,Bernard Sanders,58.8
2020,New Mexico,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,41.2
2020,New Mexico,Emerson College,A-,rv,U.S. President,Warren,Elizabeth Warren,54.3
2020,New Mexico,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,45.7
2020,New Mexico,Emerson College,A-,rv,U.S. President,Buttigieg,Pete Buttigieg,55.2
2020,New Mexico,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,44.8
2020,,Morning Consult,B/C,rv,U.S. President,Biden,Joseph R. Biden Jr.,46.0
2020,,Morning Consult,B/C,rv,U.S. President,Trump,Donald Trump,40.0
2020,,Morning Consult,B/C,rv,U.S. President,Sanders,Bernard Sanders,44.0
2020,,Morning Consult,B/C,rv,U.S. President,Trump,Donald Trump,42.0
2020,,Morning Consult,B/C,rv,U.S. President,Bloomberg,Michael Bloomberg,43.0
2020,,Morning Consult,B/C,rv,U.S. President,Trump,Donald Trump,41.0
2020,,Morning Consult,B/C,rv,U.S. President,Buttigieg,Pete Buttigieg,42.0
2020,,Morning Consult,B/C,rv,U.S. President,Trump,Donald Trump,41.0
2020,,Morning Consult,B/C,rv,U.S. President,Warren,Elizabeth Warren,42.0
2020,,Morning Consult,B/C,rv,U.S. President,Trump,Donald Trump,43.0
2020,Arizona,Public Policy Polling,B,v,U.S. President,Biden,Joseph R. Biden Jr.,46.0
2020,Arizona,Public Policy Polling,B,v,U.S. President,Trump,Donald Trump,46.0
2020,Arizona,Public Policy Polling,B,v,U.S. President,Buttigieg,Pete Buttigieg,44.0
2020,Arizona,Public Policy Polling,B,v,U.S. President,Trump,Donald Trump,47.0
2020,Arizona,Public Policy Polling,B,v,U.S. President,Sanders,Bernard Sanders,46.0
2020,Arizona,Public Policy Polling,B,v,U.S. President,Trump,Donald Trump,47.0
2020,Arizona,Public Policy Polling,B,v,U.S. President,Warren,Elizabeth Warren,45.0
2020,Arizona,Public Policy Polling,B,v,U.S. President,Trump,Donald Trump,47.0
2020,Connecticut,Sacred Heart University,B/C,a,U.S. President,Sanders,Bernard Sanders,52.3
2020,Connecticut,Sacred Heart University,B/C,a,U.S. President,Trump,Donald Trump,35.2
2020,Connecticut,Sacred Heart University,B/C,a,U.S. President,Biden,Joseph R. Biden Jr.,51.7
2020,Connecticut,Sacred Heart University,B/C,a,U.S. President,Trump,Donald Trump,32.3
2020,Connecticut,Sacred Heart University,B/C,a,U.S. President,Warren,Elizabeth Warren,48.8
2020,Connecticut,Sacred Heart University,B/C,a,U.S. President,Trump,Donald Trump,35.7
2020,Connecticut,Sacred Heart University,B/C,a,U.S. President,Buttigieg,Pete Buttigieg,46.9
2020,Connecticut,Sacred Heart University,B/C,a,U.S. President,Trump,Donald Trump,33.4
2020,Iowa,Public Policy Polling,B,v,U.S. President,Biden,Joseph R. Biden Jr.,46.0
2020,Iowa,Public Policy Polling,B,v,U.S. President,Trump,Donald Trump,49.0
2020,Iowa,Public Policy Polling,B,v,U.S. President,Buttigieg,Pete Buttigieg,47.0
2020,Iowa,Public Policy Polling,B,v,U.S. President,Trump,Donald Trump,48.0
2020,Iowa,Public Policy Polling,B,v,U.S. President,Sanders,Bernard Sanders,44.0
2020,Iowa,Public Policy Polling,B,v,U.S. President,Trump,Donald Trump,49.0
2020,Iowa,Public Policy Polling,B,v,U.S. President,Warren,Elizabeth Warren,44.0
2020,Iowa,Public Policy Polling,B,v,U.S. President,Trump,Donald Trump,49.0
2020,Georgia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Biden,Joseph R. Biden Jr.,44.0
2020,Georgia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,51.0
2020,Georgia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Warren,Elizabeth Warren,40.0
2020,Georgia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,54.0
2020,Georgia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Sanders,Bernard Sanders,42.0
2020,Georgia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,52.0
2020,Georgia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Buttigieg,Pete Buttigieg,43.0
2020,Georgia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,52.0
2020,,Ipsos,B-,a,U.S. President,Biden,Joseph R. Biden Jr.,39.0
2020,,Ipsos,B-,a,U.S. President,Trump,Donald Trump,35.0
2020,,Ipsos,B-,a,U.S. President,Sanders,Bernard Sanders,40.0
2020,,Ipsos,B-,a,U.S. President,Trump,Donald Trump,36.0
2020,,Ipsos,B-,a,U.S. President,Warren,Elizabeth Warren,38.0
2020,,Ipsos,B-,a,U.S. President,Trump,Donald Trump,36.0
2020,,Ipsos,B-,a,U.S. President,Buttigieg,Pete Buttigieg,35.0
2020,,Ipsos,B-,a,U.S. President,Trump,Donald Trump,36.0
2020,,Ipsos,B-,a,U.S. President,Bloomberg,Michael Bloomberg,36.0
2020,,Ipsos,B-,a,U.S. President,Trump,Donald Trump,35.0
2020,,Ipsos,B-,a,U.S. President,Biden,Joseph R. Biden Jr.,37.0
2020,,Ipsos,B-,a,U.S. President,Trump,Donald Trump,36.0
2020,,Ipsos,B-,a,U.S. President,Sanders,Bernard Sanders,39.0
2020,,Ipsos,B-,a,U.S. President,Trump,Donald Trump,37.0
2020,,Ipsos,B-,a,U.S. President,Warren,Elizabeth Warren,36.0
2020,,Ipsos,B-,a,U.S. President,Trump,Donald Trump,38.0
2020,,Rasmussen Reports/Pulse Opinion Research,C+,lv,U.S. President,Obama,Michelle Obama,48.0
2020,,Rasmussen Reports/Pulse Opinion Research,C+,lv,U.S. President,Trump,Donald Trump,45.0
2020,,Emerson College,A-,rv,U.S. President,Biden,Joseph R. Biden Jr.,51.6
2020,,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,48.4
2020,,Emerson College,A-,rv,U.S. President,Sanders,Bernard Sanders,52.1
2020,,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,47.9
2020,,Emerson College,A-,rv,U.S. President,Warren,Elizabeth Warren,50.9
2020,,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,49.1
2020,,Emerson College,A-,rv,U.S. President,Buttigieg,Pete Buttigieg,49.8
2020,,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,50.2
2020,Virginia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Biden,Joseph R. Biden Jr.,49.0
2020,Virginia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,45.0
2020,Virginia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Warren,Elizabeth Warren,44.0
2020,Virginia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,48.0
2020,Virginia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Sanders,Bernard Sanders,45.0
2020,Virginia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,51.0
2020,Virginia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Buttigieg,Pete Buttigieg,45.0
2020,Virginia,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,47.0
2020,Florida,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Biden,Joseph R. Biden Jr.,47.0
2020,Florida,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,45.0
2020,Florida,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Warren,Elizabeth Warren,42.0
2020,Florida,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,51.0
2020,Florida,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Sanders,Bernard Sanders,44.0
2020,Florida,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,49.0
2020,Florida,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Buttigieg,Pete Buttigieg,45.0
2020,Florida,Mason-Dixon Polling & Research Inc.,B+,rv,U.S. President,Trump,Donald Trump,49.0
2020,,SSRS,A/B,rv,U.S. President,Biden,Joseph R. Biden Jr.,49.0
2020,,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,44.0
2020,,SSRS,A/B,rv,U.S. President,Buttigieg,Pete Buttigieg,45.0
2020,,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,46.0
2020,,SSRS,A/B,rv,U.S. President,Sanders,Bernard Sanders,49.0
2020,,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,45.0
2020,,SSRS,A/B,rv,U.S. President,Warren,Elizabeth Warren,47.0
2020,,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,46.0
2020,,Suffolk University,A-,rv,U.S. President,Biden,Joseph R. Biden Jr.,40.6
2020,,Suffolk University,A-,rv,U.S. President,Trump,Donald Trump,44.0
2020,,Suffolk University,A-,rv,U.S. President,Sanders,Bernard Sanders,38.6
2020,,Suffolk University,A-,rv,U.S. President,Trump,Donald Trump,44.2
2020,,Suffolk University,A-,rv,U.S. President,Warren,Elizabeth Warren,37.3
2020,,Suffolk University,A-,rv,U.S. President,Trump,Donald Trump,44.9
2020,,Suffolk University,A-,rv,U.S. President,Buttigieg,Pete Buttigieg,32.7
2020,,Suffolk University,A-,rv,U.S. President,Trump,Donald Trump,43.0
2020,,Suffolk University,A-,rv,U.S. President,Bloomberg,Michael Bloomberg,34.0
2020,,Suffolk University,A-,rv,U.S. President,Trump,Donald Trump,42.7
2020,,IBD/TIPP,A/B,rv,U.S. President,Biden,Joseph R. Biden Jr.,50.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,45.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Sanders,Bernard Sanders,47.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,48.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Warren,Elizabeth Warren,44.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,49.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Buttigieg,Pete Buttigieg,44.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,46.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Bloomberg,Michael Bloomberg,46.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,47.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Clinton,Hillary Rodham Clinton,43.0
2020,,IBD/TIPP,A/B,rv,U.S. President,Trump,Donald Trump,49.0
2020,Virginia,Virginia Commonwealth University,B/C,a,U.S. President,Biden,Joseph R. Biden Jr.,48.0
2020,Virginia,Virginia Commonwealth University,B/C,a,U.S. President,Trump,Donald Trump,44.0
2020,Virginia,Virginia Commonwealth University,B/C,a,U.S. President,Warren,Elizabeth Warren,44.0
2020,Virginia,Virginia Commonwealth University,B/C,a,U.S. President,Trump,Donald Trump,47.0
2020,Virginia,Virginia Commonwealth University,B/C,a,U.S. President,Sanders,Bernard Sanders,46.0
2020,Virginia,Virginia Commonwealth University,B/C,a,U.S. President,Trump,Donald Trump,46.0
2020,Virginia,Virginia Commonwealth University,B/C,rv,U.S. President,Biden,Joseph R. Biden Jr.,47.0
2020,Virginia,Virginia Commonwealth University,B/C,rv,U.S. President,Trump,Donald Trump,46.0
2020,Virginia,Virginia Commonwealth University,B/C,rv,U.S. President,Warren,Elizabeth Warren,44.0
2020,Virginia,Virginia Commonwealth University,B/C,rv,U.S. President,Trump,Donald Trump,48.0
2020,Virginia,Virginia Commonwealth University,B/C,rv,U.S. President,Sanders,Bernard Sanders,45.0
2020,Virginia,Virginia Commonwealth University,B/C,rv,U.S. President,Trump,Donald Trump,47.0
2020,Virginia,Virginia Commonwealth University,B/C,lv,U.S. President,Biden,Joseph R. Biden Jr.,49.0
2020,Virginia,Virginia Commonwealth University,B/C,lv,U.S. President,Trump,Donald Trump,46.0
2020,Virginia,Virginia Commonwealth University,B/C,lv,U.S. President,Warren,Elizabeth Warren,47.0
2020,Virginia,Virginia Commonwealth University,B/C,lv,U.S. President,Trump,Donald Trump,47.0
2020,Virginia,Virginia Commonwealth University,B/C,lv,U.S. President,Sanders,Bernard Sanders,45.0
2020,Virginia,Virginia Commonwealth University,B/C,lv,U.S. President,Trump,Donald Trump,48.0
2020,,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Biden,Joseph R. Biden Jr.,48.0
2020,,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,41.0
2020,,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Warren,Elizabeth Warren,46.0
2020,,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,45.0
2020,,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Sanders,Bernard Sanders,49.0
2020,,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,43.0
2020,,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Buttigieg,Pete Buttigieg,43.0
2020,,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,42.0
2020,,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Bloomberg,Michael Bloomberg,45.0
2020,,Fox News/Beacon Research/Shaw & Co. Research,A-,rv,U.S. President,Trump,Donald Trump,40.0
2020,Iowa,Emerson College,A-,rv,U.S. President,Biden,Joseph R. Biden Jr.,45.0
2020,Iowa,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,49.0
2020,Iowa,Emerson College,A-,rv,U.S. President,Sanders,Bernard Sanders,42.5
2020,Iowa,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,49.7
2020,Iowa,Emerson College,A-,rv,U.S. President,Warren,Elizabeth Warren,42.8
2020,Iowa,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,50.1
2020,Iowa,Emerson College,A-,rv,U.S. President,Buttigieg,Pete Buttigieg,45.4
2020,Iowa,Emerson College,A-,rv,U.S. President,Trump,Donald Trump,46.1
2020,,Quinnipiac University,B+,rv,U.S. President,Biden,Joseph R. Biden Jr.,51.0
2020,,Quinnipiac University,B+,rv,U.S. President,Trump,Donald Trump,42.0
2020,,Quinnipiac University,B+,rv,U.S. President,Sanders,Bernard Sanders,51.0
2020,,Quinnipiac University,B+,rv,U.S. President,Trump,Donald Trump,43.0
2020,,Quinnipiac University,B+,rv,U.S. President,Warren,Elizabeth Warren,50.0
2020,,Quinnipiac University,B+,rv,U.S. President,Trump,Donald Trump,43.0
2020,,Quinnipiac University,B+,rv,U.S. President,Buttigieg,Pete Buttigieg,48.0
2020,,Quinnipiac University,B+,rv,U.S. President,Trump,Donald Trump,43.0
2020,,Quinnipiac University,B+,rv,U.S. President,Klobuchar,Amy Klobuchar,47.0
2020,,Quinnipiac University,B+,rv,U.S. President,Trump,Donald Trump,43.0
2020,,Quinnipiac University,B+,rv,U.S. President,Bloomberg,Michael Bloomberg,48.0
2020,,Quinnipiac University,B+,rv,U.S. President,Trump,Donald Trump,42.0
2020,Texas,SSRS,A/B,rv,U.S. President,Biden,Joseph R. Biden Jr.,47.0
2020,Texas,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,48.0
2020,Texas,SSRS,A/B,rv,U.S. President,Buttigieg,Pete Buttigieg,43.0
2020,Texas,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,50.0
2020,Texas,SSRS,A/B,rv,U.S. President,Sanders,Bernard Sanders,43.0
2020,Texas,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,50.0
2020,Texas,SSRS,A/B,rv,U.S. President,Warren,Elizabeth Warren,44.0
2020,Texas,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,51.0
2020,,Zogby Interactive/JZ Analytics,C,lv,U.S. President,Biden,Joseph R. Biden Jr.,45.0
2020,,Zogby Interactive/JZ Analytics,C,lv,U.S. President,Trump,Donald Trump,46.0
2020,,Zogby Interactive/JZ Analytics,C,lv,U.S. President,Sanders,Bernard Sanders,45.0
2020,,Zogby Interactive/JZ Analytics,C,lv,U.S. President,Trump,Donald Trump,47.0
2020,,Zogby Interactive/JZ Analytics,C,lv,U.S. President,Warren,Elizabeth Warren,43.0
2020,,Zogby Interactive/JZ Analytics,C,lv,U.S. President,Trump,Donald Trump,47.0
2020,,Zogby Interactive/JZ Analytics,C,lv,U.S. President,Buttigieg,Pete Buttigieg,41.0
2020,,Zogby Interactive/JZ Analytics,C,lv,U.S. President,Trump,Donald Trump,45.0
2020,,Zogby Interactive/JZ Analytics,C,lv,U.S. President,Bloomberg,Michael Bloomberg,43.0
2020,,Zogby Interactive/JZ Analytics,C,lv,U.S. President,Trump,Donald Trump,44.0
2020,California,SSRS,A/B,rv,U.S. President,Biden,Joseph R. Biden Jr.,56.0
2020,California,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,36.0
2020,California,SSRS,A/B,rv,U.S. President,Buttigieg,Pete Buttigieg,53.0
2020,California,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,36.0
2020,California,SSRS,A/B,rv,U.S. President,Sanders,Bernard Sanders,54.0
2020,California,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,38.0
2020,California,SSRS,A/B,rv,U.S. President,Warren,Elizabeth Warren,53.0
2020,California,SSRS,A/B,rv,U.S. President,Trump,Donald Trump,37.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Biden,Joseph R. Biden Jr.,47.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Trump,Donald Trump,46.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Sanders,Bernard Sanders,45.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Trump,Donald Trump,47.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Warren,Elizabeth Warren,44.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Trump,Donald Trump,45.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Buttigieg,Pete Buttigieg,43.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Trump,Donald Trump,44.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Booker,Cory A. Booker,43.0
2020,Wisconsin,Marquette University Law School,A/B,rv,U.S. President,Trump,Donald Trump,44.0
2020,Wisconsin,Optimus,C/D,lv,U.S. President,Biden,Joseph R. Biden Jr.,39.08
2020,Wisconsin,Optimus,C/D,lv,U.S. President,Trump,Donald Trump,48.24
2020,Wisconsin,Optimus,C/D,lv,U.S. President,Warren,Elizabeth Warren,37.22
2020,Wisconsin,Optimus,C/D,lv,U.S. President,Trump,Donald Trump,49.92
2020,Wisconsin,Optimus,C/D,lv,U.S. President,Sanders,Bernard Sanders,37.62
2020,Wisconsin,Optimus,C/D,lv,U.S. President,Trump,Donald Trump,50.95
2020,Wisconsin,Optimus,C/D,lv,U.S. President,Buttigieg,Pete Buttigieg,37.75
2020,Wisconsin,Optimus,C/D,lv,U.S. President,Trump,Donald Trump,49.36
2020,Wisconsin,Optimus,C/D,lv,U.S. President,Bloomberg,Michael Bloomberg,36.62
2020,Wisconsin,Optimus,C/D,lv,U.S. President,Trump,Donald Trump,48.96
2020,Michigan,Optimus,C/D,lv,U.S. President,Biden,Joseph R. Biden Jr.,40.87
2020,Michigan,Optimus,C/D,lv,U.S. President,Trump,Donald Trump,46.28
2020,Michigan,Optimus,C/D,lv,U.S. President,Warren,Elizabeth Warren,38.36
2020,Michigan,Optimus,C/D,lv,U.S. President,Trump,Donald Trump,47.44
2020,Michigan,Optimus,C/D,lv,U.S. President,Sanders,Bernard Sanders,41.84
